id,name,user_id,followers_count,friends_count,verified,created_at,status_count
143,HarryDred92nd,380499780,925,1021,0,"2011-09-26 19:09:53.000000",34154
144,ScottRulebook22,485584481,447,564,0,"2012-02-07 10:57:07.000000",67857
145,CinemaDave,15333841,182,1039,0,"2008-07-06 16:43:31.000000",14864
146,rptito189,351710713,797,1120,0,"2011-08-09 16:51:38.000000",7411
147,Clevelander85,51333486,132,795,0,"2009-06-27 03:34:48.000000",3956
148,mattsteen14,61795983,596,813,0,"2009-07-31 15:30:28.000000",18313
149,somanatha_taria,1501010677321768964,14,209,0,"2022-03-08 01:47:04.000000",178
150,Deep_tweets18,1417547054474141696,215,377,0,"2021-07-20 18:09:10.000000",1821
151,tabaha_mikhail,2331336396,191,403,0,"2014-02-07 05:17:22.000000",6261
152,comicripspod,1542499038498623489,9,98,0,"2022-06-30 13:23:32.000000",517
153,Vanish_AD,1024678403117666304,21,15,0,"2018-08-01 15:29:03.000000",119
154,Ms_April_U,27339081,250,328,0,"2009-03-29 00:03:07.000000",21967
155,GarrProbert,1261647336637452289,2,16,0,"2020-05-16 13:19:07.000000",27
156,Tjstukes20,1554146309921280000,138,351,0,"2022-08-01 16:45:44.000000",981
157,anna_harutunian,1365394909872721920,44,4,0,"2021-02-26 20:15:00.000000",8
158,Muhamma91464297,1561617647334301698,8,71,0,"2022-08-22 07:34:16.000000",37
159,beeez____,53593196,19911,2541,0,"2009-07-04 04:26:43.000000",211683
160,Sahejpatil1,1533049645748076544,1,39,0,"2022-06-04 11:35:15.000000",136
161,ImRoyal_T,29121372,465,818,0,"2009-04-06 02:06:23.000000",54327
162,TradeBOC,3306396280,31775,372,0,"2015-06-02 05:44:19.000000",38099
163,KcuMedia,1436020480725504000,99,743,0,"2021-09-09 17:35:51.000000",6521
164,Duk3s15,488221470,632,539,0,"2012-02-10 06:43:33.000000",10169
165,rameshlaus,102268884,742180,754,1,"2010-01-06 04:17:52.000000",292301
166,10xBek,2754498993,190,1412,0,"2014-08-29 13:05:15.000000",2659
167,ReginaldAndreas,890952271797866496,75,49,0,"2017-07-28 15:09:09.000000",159
168,The_Madd_HaTer,28652998,147,392,0,"2009-04-03 21:06:30.000000",1395
169,pinata1138,1012785276450689024,13243,14515,0,"2018-06-29 19:50:01.000000",332665
170,4EVERYOUNG12_34,68789374,659,722,0,"2009-08-25 19:50:37.000000",63722
171,20pratyush,897880239346302976,58,194,0,"2017-08-16 17:58:25.000000",877
172,1whoswho,1585781670,147,746,0,"2013-07-11 13:00:17.000000",12714
173,021winston,1050801201221054464,1124,134,0,"2018-10-12 17:31:44.000000",539
174,ShayedSays,185333347,2600,1027,0,"2010-08-31 19:00:02.000000",13028
175,Michael44390149,1071404699910328323,565,1895,0,"2018-12-08 14:02:40.000000",8419
