group,variable,value
friends,80,10
verified,80,0
created_at,80,2012-11-29 10:08:40.000000
statuses,80,18077
id,81,81
name,81,RadhikaShines_
user_id,81,1263372642767253504
followers,81,1446
friends,81,741
verified,81,0
created_at,81,2020-05-21 07:35:11.000000
statuses,81,101428
id,82,82
name,82,StefanSommer
user_id,82,18951560
followers,82,100
friends,82,413
verified,82,0
created_at,82,2009-01-13 20:19:43.000000
statuses,82,3431
id,83,83
name,83,SouvikNaha
user_id,83,905747441638617090
followers,83,601
friends,83,572
verified,83,0
created_at,83,2017-09-07 10:59:52.000000
statuses,83,460
id,84,84
name,84,silkyreds
user_id,84,115426626
followers,84,176
friends,84,283
verified,84,0
created_at,84,2010-02-18 16:32:56.000000
statuses,84,16276
id,85,85
name,85,CharityWhatever
user_id,85,389708024
followers,85,386
friends,85,2210
verified,85,0
created_at,85,2011-10-12 21:36:08.000000
statuses,85,16635
id,86,86
name,86,SameUnknownGuy
user_id,86,1558895815447531522
followers,86,3
friends,86,14
verified,86,0
created_at,86,2022-08-14 19:18:39.000000
statuses,86,55
id,87,87
name,87,AyebeLamAnthony
user_id,87,488667691
followers,87,397
friends,87,103
verified,87,0
created_at,87,2012-02-10 18:14:28.000000
statuses,87,101602
id,88,88
name,88,StarkMeet
user_id,88,1267745147011379200
followers,88,11
friends,88,319
verified,88,0
created_at,88,2020-06-02 09:09:40.000000
statuses,88,173
id,89,89
name,89,DjBigmyk
user_id,89,407172949
followers,89,2762
friends,89,246
verified,89,0
created_at,89,2011-11-07 18:49:28.000000
statuses,89,29723
id,90,90
name,90,widowskairipa
user_id,90,1296529205044416514
followers,90,855
friends,90,827
verified,90,0
created_at,90,2020-08-20 19:27:28.000000
statuses,90,30866
id,91,91
name,91,BrandonKatie30
user_id,91,1558240704601755649
followers,91,1965
friends,91,2155
verified,91,0
created_at,91,2022-08-12 23:55:22.000000
statuses,91,2418
id,92,92
name,92,Patreadsthenews
user_id,92,468813475
followers,92,96
friends,92,495
verified,92,0
created_at,92,2012-01-19 23:10:37.000000
statuses,92,14748
id,93,93
name,93,abhinavgoyal_29
user_id,93,888341522881564672
followers,93,10
friends,93,40
verified,93,0
created_at,93,2017-07-21 10:14:58.000000
statuses,93,277
id,94,94
name,94,Im_Archo
user_id,94,1422142187647553540
followers,94,4
friends,94,92
verified,94,0
created_at,94,2021-08-02 10:28:29.000000
statuses,94,178
id,95,95
name,95,quarantine_lean
user_id,95,1293267557823254528
followers,95,0
friends,95,0
verified,95,0
created_at,95,2020-08-11 19:26:40.000000
statuses,95,2
id,96,96
name,96,KollyUpdates
user_id,96,2546172990
followers,96,80984
friends,96,131
verified,96,0
created_at,96,2014-06-04 13:49:20.000000
statuses,96,23646
id,97,97
name,97,MooseJawn__
user_id,97,1344145439747145728
followers,97,119
friends,97,93
verified,97,0
created_at,97,2020-12-30 04:57:13.000000
statuses,97,377
id,98,98
name,98,CometsixSim
user_id,98,1283022968
followers,98,26
friends,98,97
verified,98,0
created_at,98,2013-03-20 11:27:56.000000
statuses,98,4634
id,99,99
name,99,SHIELDZephyrOne
user_id,99,3134622627
followers,99,682
friends,99,4985
verified,99,0
created_at,99,2015-04-04 18:20:18.000000
statuses,99,182857
id,100,100
